"","model","tl","fold","mse"
"147","ar",205,"4",0.750830411374396
"148","ar",205,"4",0.783776525540064
"149","ar",205,"4",0.720636666225843
"150","ar",205,"4",0.740012119894167
"151","ar",205,"4",0.717476422551244
"152","ar",205,"4",0.680446171588369
"153","ar",210,"4",0.649895530659828
"154","ar",210,"4",0.696516427502606
"155","ar",210,"4",0.668133696874456
"156","ar",210,"4",0.674795411155805
"157","ar",215,"4",0.698783973392087
"158","ar",215,"4",0.747717555914733
"159","ar",215,"4",0.757344218804491
"160","ar",220,"4",0.713856462997965
"161","ar",220,"4",0.696514287723945
"162","ar",220,"4",0.688688595085173
"163","ar",220,"4",0.707026505341565
"164","ar",225,"4",0.639367270461573
"165","ar",225,"4",0.727036418201807
"166","ar",225,"4",0.710707591239834
"167","ar",225,"4",0.715230348022965
"168","ar",225,"4",0.698182572906156
"169","ar",225,"4",0.70114803971482
"170","ar",225,"4",0.674535444867735
"171","ar",225,"4",0.696136511755882
"172","ar",225,"4",0.760989763215577
"173","ar",225,"4",0.690251730335287
"174","ar",225,"4",0.697035388808308
"175","ar",225,"4",0.676997517450968
"176","ar",225,"4",0.770545997045004
"177","ar",225,"4",0.741609178135527
"178","ar",225,"4",0.831038158389948
"179","ar",225,"4",0.69874069609776
"180","ar",225,"4",0.732832031738718
"181","ar",225,"4",0.736149053497655
"182","ar",225,"4",0.705523773877534
"183","ar",225,"4",0.750570494045157
"184","ar",225,"4",0.733262187356157
"185","ar",200,"5",0.768205839535563
"186","ar",205,"5",0.733648817734838
"187","ar",205,"5",0.778496840707956
"188","ar",205,"5",0.780237875967303
"189","ar",205,"5",0.749767065816398
"190","ar",205,"5",0.681570337022771
"191","ar",205,"5",0.673407759768485
"192","ar",205,"5",0.769881018936853
"193","ar",205,"5",0.696731947847119
"194","ar",205,"5",0.661654798812215
"195","ar",205,"5",0.701489885193492
"196","ar",205,"5",0.722268895529043
"197","ar",205,"5",0.638646882074131
"198","ar",205,"5",0.710827865990781
"199","ar",210,"5",0.781183123697378
